iso3c,name,url
FIN,芬兰,%E8%8A%AC%E5%85%B0
FJI,斐济,%E6%96%90%E6%BF%9F
FLK,福克兰群岛,%E7%A6%8F%E5%85%8B%E5%85%B0%E7%BE%A4%E5%B2%9B
FRA,法国,%E6%B3%95%E5%9C%8B
FRO,法罗群岛,%E6%B3%95%E7%BD%97%E7%BE%A4%E5%B2%9B
FSM,密克罗尼西亚联邦,%E5%AF%86%E5%85%8B%E7%BD%97%E5%B0%BC%E8%A5%BF%E4%BA%9A%E8%81%94%E9%82%A6
GAB,加蓬,%E5%8A%A0%E8%93%AC
GBR,英国,%E8%8B%B1%E5%9B%BD
GEO,格鲁吉亚,%E6%A0%BC%E9%B2%81%E5%90%89%E4%BA%9A
GGY,根西,%E6%A0%B9%E8%A5%BF
GHA,加纳,%E5%8A%A0%E7%BA%B3
GIB,直布罗陀,%E7%9B%B4%E5%B8%83%E7%BD%97%E9%99%80
GIN,几内亚,%E5%87%A0%E5%86%85%E4%BA%9A
GLP,瓜德罗普,%E7%93%9C%E5%BE%B7%E7%BD%97%E6%99%AE
GMB,冈比亚,%E5%86%88%E6%AF%94%E4%BA%9A
GNB,几内亚比绍,%E5%B9%BE%E5%85%A7%E4%BA%9E%E6%AF%94%E7%B4%A2
GNQ,赤道几内亚,%E8%B5%A4%E9%81%93%E5%87%A0%E5%86%85%E4%BA%9A
GRC,希腊,%E5%B8%8C%E8%85%8A
GRD,格林纳达,%E6%A0%BC%E6%9E%97%E7%BA%B3%E8%BE%BE
GRL,格陵兰,%E6%A0%BC%E9%99%B5%E5%85%B0
GTM,危地马拉,%E5%8D%B1%E5%9C%B0%E9%A9%AC%E6%8B%89
GUF,法属圭亚那,%E6%B3%95%E5%B1%AC%E5%9C%AD%E4%BA%9E%E9%82%A3
GUM,关岛,%E9%97%9C%E5%B3%B6
GUY,圭亚那,%E5%9C%AD%E4%BA%9A%E9%82%A3
HKG,香港,%E9%A6%99%E6%B8%AF
HMD,赫德岛和麦克唐纳群岛,%E8%B5%AB%E5%BE%B7%E5%B3%B6%E5%92%8C%E9%BA%A5%E5%85%8B%E5%94%90%E7%B4%8D%E7%BE%A4%E5%B3%B6
HND,洪都拉斯,%E6%B4%AA%E9%83%BD%E6%8B%89%E6%96%AF
HRV,克罗地亚,%E5%85%8B%E7%BD%97%E5%9C%B0%E4%BA%9A
HTI,海地,%E6%B5%B7%E5%9C%B0
HUN,匈牙利,%E5%8C%88%E7%89%99%E5%88%A9
IDN,印度尼西亚,%E5%8D%B0%E5%BA%A6%E5%B0%BC%E8%A5%BF%E4%BA%9A
IMN,马恩岛,%E6%9B%BC%E5%B3%B6
IND,印度,%E5%8D%B0%E5%BA%A6
IOT,英属印度洋领地,%E8%8B%B1%E5%B1%AC%E5%8D%B0%E5%BA%A6%E6%B4%8B%E9%A0%98%E5%9C%B0
IRL,爱尔兰,%E7%88%B1%E5%B0%94%E5%85%B0
IRN,伊朗,%E4%BC%8A%E6%9C%97
IRQ,伊拉克,%E4%BC%8A%E6%8B%89%E5%85%8B
ISL,冰岛,%E5%86%B0%E5%B2%9B
ISR,以色列,%E4%BB%A5%E8%89%B2%E5%88%97
ITA,意大利,%E7%BE%A9%E5%A4%A7%E5%88%A9
JAM,牙买加,%E7%89%99%E4%B9%B0%E5%8A%A0
JEY,泽西,%E6%BE%A4%E8%A5%BF
JOR,约旦,%E7%BA%A6%E6%97%A6
JPN,日本,%E6%97%A5%E6%9C%AC
KAZ,哈萨克斯坦,%E5%93%88%E8%90%A8%E5%85%8B%E6%96%AF%E5%9D%A6
KEN,肯尼亚,%E8%82%AF%E5%B0%BC%E4%BA%9A
KGZ,吉尔吉斯斯坦,%E5%90%89%E5%B0%94%E5%90%89%E6%96%AF%E6%96%AF%E5%9D%A6
KHM,柬埔寨,%E6%9F%AC%E5%9F%94%E5%AF%A8
KIR,基里巴斯,%E5%9F%BA%E9%87%8C%E5%B7%B4%E6%96%AF
KNA,圣基茨和尼维斯,%E8%81%96%E5%85%8B%E9%87%8C%E6%96%AF%E5%A4%9A%E7%A6%8F%E5%8F%8A%E5%B0%BC%E7%B6%AD%E6%96%AF
KOR,韩国,%E5%A4%A7%E9%9F%A9%E6%B0%91%E5%9B%BD
KWT,科威特,%E7%A7%91%E5%A8%81%E7%89%B9
LAO,老挝,%E8%80%81%E6%8C%9D
LBN,黎巴嫩,%E9%BB%8E%E5%B7%B4%E5%AB%A9
LBR,利比里亚,%E5%88%A9%E6%AF%94%E9%87%8C%E4%BA%9A
LBY,利比亚,%E5%88%A9%E6%AF%94%E4%BA%9A
LCA,圣卢西亚,%E5%9C%A3%E5%8D%A2%E8%A5%BF%E4%BA%9A
LIE,列支敦士登,%E5%88%97%E6%94%AF%E6%95%A6%E6%96%AF%E7%99%BB
LKA,斯里兰卡,%E6%96%AF%E9%87%8C%E8%98%AD%E5%8D%A1
LSO,莱索托,%E8%8E%B1%E7%B4%A2%E6%89%98
LTU,立陶宛,%E7%AB%8B%E9%99%B6%E5%AE%9B
LUX,卢森堡,%E5%8D%A2%E6%A3%AE%E5%A0%A1
LVA,拉脱维亚,%E6%8B%89%E8%84%AB%E7%B6%AD%E4%BA%9E
MAC,澳门,%E6%BE%B3%E9%96%80
MAF,法属圣马丁,%E6%B3%95%E5%B1%AC%E8%81%96%E9%A6%AC%E4%B8%81
MAR,摩洛哥,%E6%91%A9%E6%B4%9B%E5%93%A5
MCO,摩纳哥,%E6%91%A9%E7%BA%B3%E5%93%A5
MDA,摩尔多瓦,%E6%91%A9%E5%B0%94%E5%A4%9A%E7%93%A6
MDG,马达加斯加,%E9%A9%AC%E8%BE%BE%E5%8A%A0%E6%96%AF%E5%8A%A0
MDV,马尔代夫,%E9%A9%AC%E5%B0%94%E4%BB%A3%E5%A4%AB
MEX,墨西哥,%E5%A2%A8%E8%A5%BF%E5%93%A5
MHL,马绍尔群岛,%E9%A6%AC%E7%B4%B9%E7%88%BE%E7%BE%A4%E5%B3%B6
MKD,北马其顿,%E5%8C%97%E9%A6%AC%E5%85%B6%E9%A0%93
MLI,马里,%E9%A9%AC%E9%87%8C
MLT,马耳他,%E9%A9%AC%E8%80%B3%E4%BB%96
MMR,缅甸,%E7%BC%85%E7%94%B8
MNE,黑山,%E8%92%99%E7%89%B9%E5%85%A7%E5%93%A5%E7%BE%85
MNG,蒙古,%E8%92%99%E5%8F%A4
MNP,北马里亚纳群岛,%E5%8C%97%E9%A9%AC%E9%87%8C%E4%BA%9A%E7%BA%B3%E7%BE%A4%E5%B2%9B
MOZ,莫桑比克,%E8%8E%AB%E6%A1%91%E6%AF%94%E5%85%8B
MRT,毛里塔尼亚,%E6%AF%9B%E9%87%8C%E5%A1%94%E5%B0%BC%E4%BA%9A
MSR,蒙特塞拉特,%E8%92%99%E7%89%B9%E5%A1%9E%E6%8B%89%E7%89%B9
MTQ,马提尼克,%E9%A6%AC%E6%8F%90%E5%B0%BC%E5%85%8B
MUS,毛里求斯,%E6%AF%9B%E9%87%8C%E6%B1%82%E6%96%AF
MWI,马拉维,%E9%A9%AC%E6%8B%89%E7%BB%B4
MYS,马来西亚,%E9%A9%AC%E6%9D%A5%E8%A5%BF%E4%BA%9A
MYT,马约特,%E9%A9%AC%E7%BA%A6%E7%89%B9
"NAM",纳米比亚,%E7%BA%B3%E7%B1%B3%E6%AF%94%E4%BA%9A
NCL,新喀里多尼亚,%E6%96%B0%E5%96%80%E9%87%8C%E5%A4%9A%E5%B0%BC%E4%BA%9E
NER,尼日尔,%E5%B0%BC%E6%97%A5%E5%B0%94
NFK,诺福克岛,%E8%AF%BA%E7%A6%8F%E5%85%8B%E5%B2%9B
NGA,尼日利亚,%E5%A5%88%E5%8F%8A%E5%88%A9%E4%BA%9E
NIC,尼加拉瓜,%E5%B0%BC%E5%8A%A0%E6%8B%89%E7%93%9C
NIU,纽埃,%E7%B4%90%E5%9F%83
NLD,荷兰,%E8%8D%B7%E5%85%B0
NOR,挪威,%E6%8C%AA%E5%A8%81
NPL,尼泊尔,%E5%B0%BC%E6%B3%8A%E7%88%BE
NRU,瑙鲁,%E8%AB%BE%E9%AD%AF
NZL,新西兰,%E6%96%B0%E8%A5%BF%E5%85%B0
OMN,阿曼,%E9%98%BF%E6%9B%BC
PAK,巴基斯坦,%E5%B7%B4%E5%9F%BA%E6%96%AF%E5%9D%A6
PAN,巴拿马,%E5%B7%B4%E6%8B%BF%E9%A9%AC
PCN,皮特凯恩群岛,%E7%9A%AE%E7%89%B9%E5%87%AF%E6%81%A9%E7%BE%A4%E5%B2%9B
PER,秘鲁,%E7%A7%98%E9%B2%81
PHL,菲律宾,%E8%8F%B2%E5%BE%8B%E5%AE%BE
PLW,帕劳,%E5%B8%9B%E7%90%89
PNG,巴布亚新几内亚,%E5%B7%B4%E5%B8%83%E4%BA%9A%E6%96%B0%E5%87%A0%E5%86%85%E4%BA%9A
POL,波兰,%E6%B3%A2%E5%85%B0
PRI,波多黎各,%E6%B3%A2%E5%A4%9A%E9%BB%8E%E5%90%84
