short_name_en,variant,common_string,regex
Ecuador,厄瓜多尔,厄瓜多,厄瓜多
Ecuador,厄瓜多尔共和国,厄瓜多,厄瓜多
Ecuador,厄瓜多,厄瓜多,厄瓜多
Ecuador,厄瓜多共和国,厄瓜多,厄瓜多
Egypt,埃及,埃及,埃及
Egypt,阿拉伯埃及共和国,埃及,埃及
Egypt,埃及阿拉伯共和国,埃及,埃及
El Salvador,萨尔瓦多,萨尔瓦多,萨尔瓦多
El Salvador,萨尔瓦多共和国,萨尔瓦多,萨尔瓦多
Equatorial Guinea,赤道几内亚,赤,
Equatorial Guinea,赤道几内亚共和国,赤,
Equatorial Guinea,赤几,赤,
Equatorial Guinea,赤道畿内亚,赤,
Equatorial Guinea,赤道畿内亚共和国,赤,
Equatorial Guinea,赤畿,赤,
Eritrea,厄立特里亚,厄,
Eritrea,厄立特里亚国,厄,
Eritrea,厄利垂亚,厄,
Eritrea,厄利垂亚国,厄,
Estonia,爱沙尼亚,爱沙尼亚,爱沙尼亚
Estonia,爱沙尼亚共和国,爱沙尼亚,爱沙尼亚
Eswatini,斯威士兰,,
Eswatini,斯威士兰王国,,
Eswatini,史瓦帝尼,,
Eswatini,史瓦帝尼王国,,
Ethiopia,埃塞俄比亚,,
Ethiopia,埃塞俄比亚联邦民主共和国,,
Ethiopia,埃塞,,
Ethiopia,埃国,,
Ethiopia,衣索比亚,,
Ethiopia,衣索比亚联邦民主共和国,,
Ethiopia,衣国,,
Fiji,斐济,斐济,斐济
Fiji,斐济共和国,斐济,斐济
Finland,芬兰,芬兰,芬兰
Finland,芬兰共和国,芬兰,芬兰
France,法国,法,
France,法兰西共和国,法,
Gabon,加蓬,加,
Gabon,加蓬共和国,加,
Gabon,加彭,加,
Gabon,加彭共和国,加,
Gambia,冈比亚,比亚,
Gambia,冈比亚共和国,比亚,
Gambia,甘比亚,比亚,
Gambia,甘比亚共和国,比亚,
Georgia,格鲁吉亚,亚,
Georgia,乔治亚,亚,
Germany,德国,德,
Germany,德意志联邦共和国,德,
Ghana,加纳,纳,
Ghana,加纳共和国,纳,
Ghana,迦纳,纳,
Ghana,迦纳共和国,纳,
Greece,希腊,希腊,希腊
Greece,希腊共和国,希腊,希腊
Grenada,格林纳达,格,
Grenada,格瑞那达,格,
Guatemala,危地马拉,地马拉,
Guatemala,危地马拉共和国,地马拉,
Guatemala,瓜地马拉,地马拉,
Guatemala,瓜地马拉共和国,地马拉,
Guinea,几内亚,内亚,
Guinea,几内亚共和国,内亚,
Guinea,畿内亚,内亚,
Guinea,畿内亚共和国,内亚,
Guinea-Bissau,几内亚比绍,内亚比,
Guinea-Bissau,几内亚比绍共和国,内亚比,
Guinea-Bissau,畿内亚比绍,内亚比,
Guinea-Bissau,畿内亚比绍共和国,内亚比,
Guinea-Bissau,几内亚比索,内亚比,
Guinea-Bissau,几内亚比索共和国,内亚比,
Guyana,圭亚那,亚那,
Guyana,圭亚那合作共和国,亚那,
Guyana,盖亚那,亚那,
Guyana,盖亚那合作共和国,亚那,
Haiti,海地,海地,海地
Haiti,海地共和国,海地,海地
Honduras,洪都拉斯,都拉斯,
Honduras,洪都拉斯共和国,都拉斯,
Honduras,宏都拉斯,都拉斯,
Honduras,宏都拉斯共和国,都拉斯,
Hungary,匈牙利,匈牙利,匈牙利
Iceland,冰岛,冰,
Iceland,冰封之岛,冰,
India,印度,印度,印度
India,印度共和国,印度,印度
Indonesia,印度尼西亚,印,
Indonesia,印度尼西亚共和国,印,
Indonesia,印尼,印,
Indonesia,印尼共和国,印,
Iran,伊朗,,
Iran,伊朗伊斯兰共和国,,
Iran,波斯,,
Iraq,伊拉克,伊拉克,伊拉克
Iraq,伊拉克共和国,伊拉克,伊拉克
Ireland,爱尔兰,爱尔兰,爱尔兰
Ireland,爱尔兰共和国,爱尔兰,爱尔兰
Israel,以色列,以色列,以色列
Israel,以色列国,以色列,以色列
Italy,意大利,大利,
Italy,意大利共和国,大利,
Italy,义大利,大利,
Italy,义大利共和国,大利,
Jamaica,牙买加,牙买加,牙买加
Japan,日本,日本,日本
Japan,日本国,日本,日本
Jordan,约旦,约旦,约旦
Jordan,约旦哈希姆王国,约旦,约旦
Jordan,约旦哈希米王国,约旦,约旦
Kazakhstan,哈萨克斯坦,哈萨克,哈萨克
Kazakhstan,哈萨克斯坦共和国,哈萨克,哈萨克
Kazakhstan,哈萨克,哈萨克,哈萨克
Kazakhstan,哈萨克共和国,哈萨克,哈萨克
Kenya,肯尼亚,肯,
Kenya,肯尼亚共和国,肯,
Kenya,肯雅,肯,
Kenya,肯雅共和国,肯,
Kenya,肯亚,肯,
Kenya,肯亚共和国,肯,
Kiribati,基里巴斯,里巴斯,
Kiribati,基里巴斯共和国,里巴斯,
Kiribati,吉里巴斯,里巴斯,
Kiribati,吉里巴斯共和国,里巴斯,
Kosovo,科索沃,科索沃,科索沃
Kosovo,科索沃共和国,科索沃,科索沃
Kuwait,科威特,科威特,科威特
Kuwait,科威特国,科威特,科威特
Kyrgyzstan,吉尔吉斯斯坦,吉尔吉斯,吉尔吉斯
Kyrgyzstan,吉尔吉斯共和国,吉尔吉斯,吉尔吉斯
Kyrgyzstan,吉尔吉斯,吉尔吉斯,吉尔吉斯
Laos,老挝,,
Laos,老挝人民民主共和国,,
Laos,寮国,,
Laos,寮人民民主共和国,,
Latvia,拉脱维亚,拉脱维亚,拉脱维亚
Latvia,拉脱维亚共和国,拉脱维亚,拉脱维亚
Lebanon,黎巴嫩,黎巴嫩,黎巴嫩
Lebanon,黎巴嫩共和国,黎巴嫩,黎巴嫩
Lesotho,莱索托,索托,
Lesotho,莱索托王国,索托,
Lesotho,赖索托,索托,
Lesotho,赖索托王国,索托,
Liberia,利比里亚,比,
Liberia,利比里亚共和国,比,
Liberia,赖比瑞亚,比,
Liberia,赖比瑞亚共和国,比,
Libya,利比亚,利比亚,利比亚
Libya,利比亚国,利比亚,利比亚
Liechtenstein,列支敦士登,列支敦,
Liechtenstein,列支敦士登亲王国,列支敦,
Liechtenstein,列支敦士登侯国,列支敦,
Liechtenstein,列支敦士登公国,列支敦,
Liechtenstein,列支敦斯登,列支敦,
Liechtenstein,列支敦斯登亲王国,列支敦,
Liechtenstein,列支敦斯登侯国,列支敦,
Liechtenstein,列支敦斯登公国,列支敦,
Lithuania,立陶宛,立陶宛,立陶宛
Lithuania,立陶宛共和国,立陶宛,立陶宛
Luhansk,卢甘斯克人民共和国,斯克人民共和国,
Luhansk,卢干斯克人民共和国,斯克人民共和国,
Luxembourg,卢森堡,卢森堡,卢森堡
Luxembourg,卢森堡大公国,卢森堡,卢森堡
Madagascar,马达加斯加,马,
Madagascar,马达加斯加共和国,马,
Madagascar,马尔加什共和国,马,
Madagascar,马拉加西共和国,马,
Malawi,马拉维,马拉,
Malawi,马拉维共和国,马拉,
Malawi,马拉威,马拉,
Malawi,马拉威共和国,马拉,
Malaysia,马来西亚,马来西亚,马来西亚
Maldives,马尔代夫,,
Maldives,马尔代夫共和国,,
Maldives,溜山,,
Maldives,马尔地夫,,
Maldives,马尔地夫共和国,,
Mali,马里,马,
Mali,马里共和国,马,
Mali,马利,马,
Mali,马利共和国,马,
Malta,马耳他,马,
Malta,马耳他共和国,马,
Malta,马尔他,马,
Malta,马尔他共和国,马,
Marshall Islands,马绍尔群岛,马绍尔,马绍尔
Marshall Islands,马绍尔群岛共和国,马绍尔,马绍尔
Marshall Islands,马绍尔,马绍尔,马绍尔
Mauritania,毛里塔尼亚,塔尼亚,
Mauritania,毛里塔尼亚伊斯兰共和国,塔尼亚,
Mauritania,茅利塔尼亚,塔尼亚,
Mauritania,茅利塔尼亚伊斯兰共和国,塔尼亚,
Mauritius,毛里求斯,里,
Mauritius,毛里求斯共和国,里,
Mauritius,毛里裘斯,里,
Mauritius,毛里裘斯共和国,里,
Mauritius,模里西斯,里,
Mauritius,模里西斯共和国,里,
Mexico,墨西哥,墨西哥,墨西哥
Mexico,墨西哥合众国,墨西哥,墨西哥
Micronesia,密克罗尼西亚联邦,密,
Micronesia,密克罗尼西亚,密,
Micronesia,密联邦,密,
Moldova,摩尔多瓦,摩尔多瓦,摩尔多瓦
Moldova,摩尔多瓦共和国,摩尔多瓦,摩尔多瓦
Monaco,摩纳哥,摩纳哥,摩纳哥
Monaco,摩纳哥公国,摩纳哥,摩纳哥
Monaco,摩纳哥侯国,摩纳哥,摩纳哥
Monaco,摩纳哥亲王国,摩纳哥,摩纳哥
Mongolia,蒙古国,蒙古,蒙古
Mongolia,蒙古,蒙古,蒙古
Montenegro,黑山,,
Montenegro,蒙特内哥罗,,
Morocco,摩洛哥,摩洛哥,摩洛哥
