iso3c,name
HRV,克罗地亚
HRV,克罗地亚共和国
HRV,克罗埃西亚
HRV,克罗埃西亚共和国
HTI,海地
HTI,海地共和国
HUN,匈牙利
IDN,印度尼西亚
IDN,印度尼西亚共和国
IDN,印尼
IDN,印尼共和国
IMN,马恩岛
IMN,曼恩
IMN,萌岛
IMN,曼岛
IND,印度
IND,印度共和国
IOT,英属印度洋领地
IRL,爱尔兰
IRL,爱尔兰共和国
IRN,伊朗
IRN,伊朗伊斯兰共和国
IRQ,伊拉克
IRQ,伊拉克共和国
ISL,冰岛
ISL,冰封之地
ISR,以色列
ISR,以色列国
ITA,意大利
ITA,意大利共和国
ITA,义大利
ITA,义大利共和国
JAM,牙买加
JEY,泽西
JEY,泽西行政区
JEY,哲尔赛
JEY,泽尔西
JOR,约旦
JOR,约旦哈希姆王国
JOR,约旦哈希米王国
JPN,日本
JPN,日本国
KAZ,哈萨克斯坦
KAZ,哈萨克斯坦共和国
KAZ,哈萨克
KAZ,哈萨克共和国
KEN,肯尼亚
KEN,肯尼亚共和国
KEN,肯雅
KEN,肯雅共和国
KEN,肯亚
KEN,肯亚共和国
KGZ,吉尔吉斯斯坦
KGZ,吉尔吉斯共和国
KGZ,吉尔吉斯
KHM,柬埔寨
KHM,柬埔寨王国
KIR,基里巴斯
KIR,基里巴斯共和国
KIR,吉里巴斯
KIR,吉里巴斯共和国
KNA,圣基茨和尼维斯
KNA,圣基茨和尼维斯联邦
KNA,圣克里斯托弗和尼维斯联邦
KNA,圣尼
KNA,圣克里斯多福及尼维斯／圣吉斯纳域斯联邦
KNA,圣克里斯多福及尼维斯联邦
KNA,圣克里斯多福及尼维斯
KNA,克国
KOR,大韩民国
KOR,韩国
KOR,南韩
KWT,科威特
KWT,科威特国
LAO,老挝
LAO,老挝人民民主共和国
LAO,寮国
LAO,寮人民民主共和国
LBN,黎巴嫩
LBN,黎巴嫩共和国
LBR,利比里亚
LBR,利比里亚共和国
LBR,赖比瑞亚
LBR,赖比瑞亚共和国
LBY,利比亚
LBY,利比亚国
LCA,圣卢西亚
LCA,圣露西亚
LIE,列支敦士登
LIE,列支敦士登亲王国
LIE,列支敦士登侯国
LIE,列支敦士登公国
LIE,列支敦斯登
LIE,列支敦斯登亲王国
LIE,列支敦斯登侯国
LIE,列支敦斯登公国
LKA,斯里兰卡
LKA,斯里兰卡民主社会主义共和国
LKA,锡兰
LSO,莱索托
LSO,莱索托王国
LSO,赖索托
LSO,赖索托王国
LTU,立陶宛
LTU,立陶宛共和国
LUX,卢森堡
