iso3c,regex
STP,圣多美[和及与]?普林西比|圣普
SUR,苏(利|里)南
SVK,斯洛伐克
SVN,斯洛(维|文)尼亚
SWE,瑞典
SWZ,史瓦帝尼|斯威士兰
SXM,圣马丁
SYC,塞(席|舌)尔
SYR,叙利亚
TCA,特凯|(特克斯|土克)[和及与]?凯(科斯|可)群岛
TCD,查德|乍得
TGO,多哥
THA,泰王?国
TJK,塔吉克
TKL,托克劳
TKM,土库曼
TLS,东帝汶
TON,(东|汤)加
TTO,(千里|特立尼)达|特多
TUN,突尼(西亚|斯)
TUR,"(?<!北(赛|塞)(普|浦).{0,5})土耳其"
TUV,(吐|图)瓦(鲁|卢)
TWN,台湾|中华民国
TZA,坦(尚|桑)尼亚
UGA,乌干达
UKR,乌克兰
UMI,美国本土外小岛屿
URY,乌拉圭
USA,美国|美利坚合众国
UZB,乌兹别克
VAT,梵(蒂|谛)冈
VCT,圣文森
VEN,委内瑞拉
VGB,英属(维尔?京|处女)群岛
VIR,美属(维尔?京|处女)群岛
VNM,越南
VUT,万那杜|瓦努阿图
WLF,瓦利斯和富图(纳|那)
WSM,(?<!(美属|东))萨摩亚
YEM,(也|叶)门
ZAF,南非
ZMB,(尚|赞)比亚
ZWE,辛巴威|津巴布韦
