iso3c,variant,common_string,regex
COG,刚果,刚果,刚果共和国|布拉(萨|柴维尔).*刚果|刚果.*布拉(萨|柴维尔)|刚果.布
COG,布拉柴维尔刚果,刚果,刚果共和国|布拉(萨|柴维尔).*刚果|刚果.*布拉(萨|柴维尔)|刚果.布
COG,刚果（布）,刚果,刚果共和国|布拉(萨|柴维尔).*刚果|刚果.*布拉(萨|柴维尔)|刚果.布
COG,布拉萨市刚果,刚果,刚果共和国|布拉(萨|柴维尔).*刚果|刚果.*布拉(萨|柴维尔)|刚果.布
COG,刚果（布拉萨市）,刚果,刚果共和国|布拉(萨|柴维尔).*刚果|刚果.*布拉(萨|柴维尔)|刚果.布
COK,库克群岛,库克群岛,库克群岛
COL,哥伦比亚,哥伦比亚,哥伦比亚
COL,哥伦比亚共和国,哥伦比亚,哥伦比亚
COM,科摩罗,摩,(葛|科)摩
COM,科摩罗联盟,摩,(葛|科)摩
COM,葛摩联盟,摩,(葛|科)摩
COM,葛摩,摩,(葛|科)摩
CPV,佛得角,角,(维德|佛得)角
CPV,佛得角共和国,角,(维德|佛得)角
CPV,维德角,角,(维德|佛得)角
CPV,维德角共和国,角,(维德|佛得)角
CRI,哥斯达黎加,哥斯,哥斯(大|达)黎加
CRI,哥斯达黎加共和国,哥斯,哥斯(大|达)黎加
CRI,哥斯大黎加,哥斯,哥斯(大|达)黎加
CRI,哥斯大黎加共和国,哥斯,哥斯(大|达)黎加
CUB,古巴,古巴,古巴
CUB,古巴共和国,古巴,古巴
CUW,库拉索,拉索,
CUW,古拉索,拉索,
CXR,圣诞岛,圣诞岛,圣诞岛
CYM,开曼群岛,群岛,
CYM,凯门群岛,群岛,
CYM,盖曼群岛,群岛,
CYP,塞浦路斯,斯,(?<!北)(赛|塞)(普勒|浦路)斯
CYP,塞浦路斯,斯,北(赛|塞)(普勒|浦路)斯
CYP,塞浦路斯共和国,斯,(?<!北)(赛|塞)(普勒|浦路)斯
CYP,塞浦路斯共和国,斯,北(赛|塞)(普勒|浦路)斯
CYP,赛普勒斯,斯,(?<!北)(赛|塞)(普勒|浦路)斯
CYP,赛普勒斯,斯,北(赛|塞)(普勒|浦路)斯
